id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
164314,https://batdongsan.vn/cho-thue-villa-trai-mat-p11-da-lat-ho-boi-nuoc-nong-bai-dau-xe-view-dinh-40tr-r164314,"CHO THUÊ VILLA TRẠI MÁT P11 ĐÀ LẠT - HỒ BƠI NƯỚC NÓNG, BÃI ĐẬU XE, VIEW ĐỈNH - 40TR","Đà Lạt, Lâm Đồng",4320,800.0,6.0,7.0,,False,40.0
164475,https://batdongsan.vn/nha-toi-cho-thue-nha-can-goc-moi-113m2-4t-via-he-doi-can-45-tr-r164475,"Nhà tôi cho thuê Nhà căn góc, mới, 113m2_ 4T; vỉa hè, Đội Cấn-45 Tr","Ba Đình, Hà Nội",4320,113.0,,,4.0,False,45.0
164490,https://batdongsan.vn/cho-thue-mbkd-pho-kham-thien-dong-da-r164490,CHO THUÊ MBKD PHỐ KHÂM THIÊN - ĐỐNG ĐA,"Đống Đa, Hà Nội",4320,60.0,4.0,3.0,5.0,False,63.0
164269,https://batdongsan.vn/cho-thue-phong-tro-86-ngo-1-bui-xuong-trach-thanh-xuan-ha-noi-gia-tu-35-45-trieu-r164269,"CHO THUÊ PHÒNG TRỌ – 86 NGÕ 1 BÙI XƯƠNG TRẠCH, THANH XUÂN – HÀ NỘI GIÁ TỪ 3,5 - 4.5 TRIỆU","Thanh Xuân, Hà Nội",4320,45.0,10.0,10.0,,False,6.0
164100,https://batdongsan.vn/nha-toi-cho-thue-nha-hai-cua-di-moi-96m2-4t-via-he-lo-duc-31-tr-r164100,"Nhà tôi cho thuê nhà hai cửa đi, mới, 96m2_ 4T; vỉa hè, Lò Đúc-31 Tr","Hai Bà Trưng, Hà Nội",4320,96.0,,,4.0,False,31.0
164246,https://batdongsan.vn/toi-chu-nha-cho-thue-nha-lo-goc-moivia-he-115m2-5t-duy-tan-45-tr-r164246,"Tôi chủ nhà cho thuê nhà lô góc, mới,vỉa hè, 115m2- 5T, Duy Tân_45 Tr","Cầu Giấy, Hà Nội",4320,115.0,,,5.0,False,45.0
164472,https://batdongsan.vn/cho-thue-nha-hai-mat-tienmoi-100m2-5t-via-he-nguyen-khanh-toan-29-tr-r164472,"Cho thuê nhà hai mặt tiền,mới, 100m2_ 5T; vỉa hè, Nguyễn Khánh Toàn-29 Tr","Cầu Giấy, Hà Nội",4320,100.0,,,5.0,True,29.0
164139,https://batdongsan.vn/can-ban-hoac-cho-thue-nha-xuong-binh-tan-duong-xe-cont-1000m2-chi-20-ty-r164139,"CẦN BÁN HOẶC CHO THUÊ NHÀ XƯỞNG BÌNH TÂN, ĐƯỜNG XE CONT, 1000M2 CHỈ 20 TỶ","Bình Chánh, Hồ Chí Minh",4320,600.0,10.0,5.0,,False,29000.0
164286,https://batdongsan.vn/cho-thue-nha-nguyen-can-4-phong-ngu-nguyen-dinh-chieu-phuong-9-da-lat-12tr-r164286,CHO THUÊ NHÀ NGUYÊN CĂN 4 PHÒNG NGỦ NGUYỄN ĐÌNH CHIỂU PHƯỜNG 9 ĐÀ LẠT 12TR,"Đà Lạt, Lâm Đồng",4320,100.0,4.0,2.0,,False,12.0
164201,https://batdongsan.vn/cho-thue-phong-tro-29-ngo-1194141-lang-dong-da-ha-noi-r164201,"CHO THUÊ PHÒNG TRỌ – 29 NGÕ 1194/141 LÁNG, ĐỐNG ĐA – HÀ NỘI","Đống Đa, Hà Nội",4320,30.0,10.0,10.0,,False,4.2
164000,https://batdongsan.vn/cho-thue-pn-studio-35m2-moi-trong-167-noi-that-day-du-cua-van-tay-xo-viet-nghe-tinh-binh-thanh-r164000,"Cho thuê pn studio 35m2 mới TRỐNG 16/7. Nội thất đầy đủ, cửa vân tay Xô viết nghệ tĩnh bình thạnh","Bình Thạnh, Hồ Chí Minh",4320,35.0,,,,False,5.0
164103,https://batdongsan.vn/cho-thue-nha-moi-hai-mat-tien-93m2-4t-via-he-tran-nhan-tong-30-tr-r164103,"Cho thuê nhà mới, hai mặt tiền, 93m2_ 4T; vỉa hè, Trần Nhân Tông-30 Tr","Hai Bà Trưng, Hà Nội",4320,93.0,,,4.0,True,30.0
